id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,2.50,1.00,2.50,0.98,-1.57
Australia,3.00,1.98,1.52,1.18,-40.35
Brazil,3.60,2.19,1.64,1.42,-35.28
Britain,1.99,0.70,2.85,0.78,12.04
Canada,3.33,1.56,2.14,1.31,-15.96
Chile,1260.00,601.00,2.10,496.06,-17.46
China,9.90,8.28,1.20,3.90,-52.93
Colombia,#N/A,#N/A,#N/A,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,56.00,39.00,1.43,22.05,-43.47
Denmark,24.75,8.46,2.93,9.74,15.18
Egypt,#N/A,#N/A,#N/A,#N/A,#N/A
Euro area,2.57,1.14,2.27,1.01,-10.96
Hong Kong,10.70,7.80,1.37,4.21,-45.99
Hungary,399.00,303.00,1.32,157.09,-48.16
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,14700.00,10855.00,1.35,5787.40,-46.68
Israel,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,294.00,124.00,2.38,115.75,-6.65
Latvia,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,4.52,3.80,1.19,1.78,-53.17
Mexico,21.90,9.29,2.36,8.62,-7.19
New Zealand,3.60,2.47,1.46,1.42,-42.62
Norway,#N/A,#N/A,#N/A,#N/A,#N/A
Pakistan,#N/A,#N/A,#N/A,#N/A,#N/A
Peru,#N/A,#N/A,#N/A,#N/A,#N/A
Philippines,59.00,50.30,1.17,23.23,-53.82
Poland,5.90,4.03,1.46,2.32,-42.36
Russia,35.00,28.90,1.21,13.78,-52.32
Saudi Arabia,#N/A,#N/A,#N/A,#N/A,#N/A
Singapore,3.30,1.81,1.82,1.30,-28.22
South Africa,9.70,8.13,1.19,3.82,-53.03
South Korea,3000.00,1325.00,2.27,1181.10,-10.86
Sri Lanka,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,24.00,10.28,2.33,9.45,-8.09
Switzerland,6.30,1.73,3.65,2.48,43.37
Taiwan,70.00,32.90,2.13,27.56,-16.23
Thailand,55.00,45.50,1.21,21.65,-52.41
Turkey,#N/A,#N/A,#N/A,#N/A,#N/A
UAE,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,#N/A,#N/A,#N/A,#N/A,#N/A
United States,2.54,1.00,2.54,1.00,0.00
Uruguay,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,#N/A,#N/A,#N/A,#N/A,#N/A
