id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,8.25,3.09,2.67,2.42,-21.74
Australia,3.45,1.17,2.95,1.01,-13.53
Brazil,6.90,1.91,3.61,2.02,5.77
Britain,1.99,0.50,4.01,0.58,17.51
Canada,3.88,1.05,3.68,1.14,8.01
Chile,1565.00,526.75,2.97,458.94,-12.87
China,11.00,7.60,1.45,3.23,-57.58
Colombia,6900.00,1956.00,3.53,2023.46,3.45
Costa Rica,1130.00,518.63,2.18,331.38,-36.10
Czech Republic,52.90,21.12,2.51,15.51,-26.54
Denmark,27.75,5.46,5.08,8.14,49.04
Egypt,9.54,5.69,1.68,2.80,-50.83
Euro area,3.06,0.73,4.17,0.90,22.20
Hong Kong,12.00,7.82,1.54,3.52,-54.97
Hungary,600.00,180.21,3.33,175.95,-2.36
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,15900.00,9015.00,1.76,4662.76,-48.28
Israel,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,280.00,122.32,2.29,82.11,-32.87
Latvia,1.39,0.51,2.72,0.41,-20.21
Lithuania,6.60,2.53,2.61,1.94,-23.61
Malaysia,5.50,3.43,1.60,1.61,-53.04
Mexico,29.00,10.77,2.69,8.50,-21.02
New Zealand,4.60,1.28,3.59,1.35,5.41
Norway,40.00,5.81,6.88,11.73,101.76
Pakistan,140.00,60.37,2.32,41.06,-31.99
Peru,9.50,3.17,3.00,2.79,-12.03
Philippines,85.00,45.90,1.85,24.93,-45.69
Poland,6.90,2.75,2.51,2.02,-26.47
Russia,52.00,25.65,2.03,15.25,-40.54
Saudi Arabia,9.00,3.75,2.40,2.64,-29.63
Singapore,3.95,1.52,2.59,1.16,-23.98
South Africa,15.50,6.97,2.22,4.55,-34.79
South Korea,2900.00,922.50,3.14,850.44,-7.81
Sri Lanka,210.00,111.40,1.89,61.58,-44.72
Sweden,33.00,6.79,4.86,9.68,42.49
Switzerland,6.30,1.21,5.20,1.85,52.54
Taiwan,75.00,32.77,2.29,21.99,-32.88
Thailand,62.00,34.46,1.80,18.18,-47.23
Turkey,4.75,1.30,3.66,1.39,7.31
UAE,10.00,3.67,2.72,2.93,-20.16
Ukraine,9.25,5.03,1.84,2.71,-46.04
United States,3.41,1.00,3.41,1.00,0.00
Uruguay,62.00,23.95,2.59,18.18,-24.07
Venezuela,7400.00,2147.30,3.45,2170.09,1.06
