id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,14.00,3.93,3.56,3.75,-4.67
Australia,4.35,1.13,3.84,1.17,2.77
Brazil,8.71,1.77,4.91,2.33,31.44
Britain,2.29,0.66,3.48,0.61,-6.69
Canada,4.17,1.04,4.00,1.12,7.16
Chile,1750.00,523.65,3.34,468.75,-10.48
China,13.20,6.78,1.95,3.54,-47.83
Colombia,8200.00,1868.45,4.39,2196.43,17.55
Costa Rica,2000.00,522.12,3.83,535.71,2.60
Czech Republic,67.64,19.75,3.43,18.12,-8.25
Denmark,28.50,5.81,4.90,7.63,31.31
Egypt,13.00,5.70,2.28,3.48,-38.90
Euro area,3.38,0.78,4.33,0.91,16.05
Hong Kong,14.80,7.77,1.90,3.96,-49.01
Hungary,740.00,221.97,3.33,198.21,-10.70
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,22780.00,9063.00,2.51,6101.79,-32.67
Israel,14.90,3.86,3.86,3.99,3.34
Japan,320.00,87.18,3.67,85.71,-1.68
Latvia,1.55,0.55,2.80,0.42,-24.91
Lithuania,7.30,2.69,2.71,1.96,-27.41
Malaysia,7.05,3.21,2.19,1.89,-41.24
Mexico,32.00,12.78,2.50,8.57,-32.94
New Zealand,5.00,1.39,3.59,1.34,-3.84
Norway,45.00,6.25,7.20,12.05,92.97
Pakistan,210.00,85.53,2.46,56.25,-34.23
Peru,10.00,2.83,3.54,2.68,-5.27
Philippines,102.00,46.47,2.19,27.32,-41.21
Poland,8.30,3.20,2.60,2.22,-30.46
Russia,71.00,30.44,2.33,19.02,-37.53
Saudi Arabia,10.00,3.75,2.67,2.68,-28.58
Singapore,4.23,1.37,3.08,1.13,-17.55
South Africa,18.45,7.54,2.45,4.94,-34.43
South Korea,3400.00,1204.45,2.82,910.71,-24.39
Sri Lanka,210.00,112.78,1.86,56.25,-50.12
Sweden,48.40,7.37,6.56,12.96,75.82
Switzerland,6.50,1.05,6.19,1.74,65.68
Taiwan,75.00,32.11,2.34,20.09,-37.43
Thailand,70.00,32.31,2.17,18.75,-41.96
Turkey,5.95,1.53,3.89,1.59,4.21
UAE,11.00,3.67,2.99,2.95,-19.78
Ukraine,14.50,7.90,1.84,3.88,-50.83
United States,3.73,1.00,3.73,1.00,0.00
Uruguay,79.00,21.10,3.74,21.16,0.29
Venezuela,#N/A,#N/A,#N/A,#N/A,#N/A
