id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,4.36,2.95,1.48,1.50,-49.04
Australia,3.25,1.43,2.27,1.12,-21.63
Brazil,5.40,3.18,1.70,1.86,-41.44
Britain,1.88,0.56,3.37,0.65,16.04
Canada,3.19,1.37,2.33,1.10,-19.71
Chile,1400.00,641.00,2.18,482.76,-24.69
China,10.40,8.28,1.26,3.59,-56.69
Colombia,6500.00,2769.83,2.35,2241.38,-19.08
Costa Rica,1130.00,433.55,2.61,389.66,-10.12
Czech Republic,56.42,26.50,2.13,19.46,-26.58
Denmark,27.75,6.22,4.46,9.57,53.84
Egypt,10.00,6.19,1.62,3.45,-44.29
Euro area,2.74,0.83,3.28,0.94,13.38
Hong Kong,12.00,7.79,1.54,4.14,-46.88
Hungary,530.00,211.00,2.52,182.76,-13.38
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,16100.00,9120.00,1.77,5551.72,-39.13
Israel,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,262.00,113.00,2.33,90.34,-20.05
Latvia,1.09,0.55,2.00,0.38,-31.14
Lithuania,6.50,2.87,2.26,2.24,-21.99
Malaysia,5.04,3.80,1.33,1.74,-54.26
Mexico,24.00,11.60,2.08,8.28,-28.66
New Zealand,4.35,1.64,2.65,1.50,-8.54
Norway,35.50,6.85,5.18,12.24,78.73
Pakistan,110.00,57.76,1.90,37.93,-34.33
Peru,8.99,3.49,2.57,3.10,-11.17
Philippines,69.00,55.90,1.23,23.79,-57.44
Poland,6.30,3.87,1.63,2.17,-43.87
Russia,42.00,29.00,1.45,14.48,-50.06
Saudi Arabia,2.40,3.75,0.64,0.83,-77.93
Singapore,3.30,1.71,1.92,1.14,-33.45
South Africa,12.40,6.66,1.86,4.28,-35.80
South Korea,3200.00,1177.00,2.72,1103.45,-6.25
Sri Lanka,140.00,99.00,1.41,48.28,-51.24
Sweden,30.00,7.61,3.94,10.34,35.94
Switzerland,6.30,1.29,4.90,2.17,68.40
Taiwan,75.00,33.40,2.24,25.86,-22.57
Thailand,59.00,40.80,1.45,20.34,-50.14
Turkey,3950000.00,1531000.00,2.58,1362068.97,-11.03
UAE,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,7.25,5.33,1.36,2.50,-53.11
United States,2.90,1.00,2.90,1.00,0.00
Uruguay,29.80,29.74,1.00,10.28,-65.44
Venezuela,4400.00,2977.00,1.48,1517.24,-49.03
