id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,11.50,3.81,3.02,3.22,-15.48
Australia,4.34,1.29,3.37,1.22,-5.53
Brazil,8.03,2.00,4.02,2.25,12.63
Britain,2.29,0.62,3.69,0.64,-3.21
Canada,3.89,1.16,3.35,1.09,-6.13
Chile,1750.00,548.55,3.19,490.20,-10.64
China,12.50,6.83,1.83,3.50,-48.76
Colombia,7000.00,2095.60,3.34,1960.78,-6.43
Costa Rica,2000.00,582.57,3.43,560.22,-3.84
Czech Republic,67.92,18.66,3.64,19.03,1.95
Denmark,29.50,5.34,5.53,8.26,54.82
Egypt,13.00,5.58,2.33,3.64,-34.80
Euro area,3.31,0.72,4.62,0.93,29.33
Hong Kong,13.30,7.75,1.72,3.73,-51.93
Hungary,720.00,199.16,3.62,201.68,1.27
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,20900.00,10200.00,2.05,5854.34,-42.60
Israel,15.00,3.97,3.77,4.20,5.72
Japan,320.00,92.57,3.46,89.64,-3.16
Latvia,1.55,0.50,3.09,0.43,-13.46
Lithuania,7.10,2.48,2.87,1.99,-19.65
Malaysia,6.77,3.60,1.88,1.90,-47.35
Mexico,33.00,13.81,2.39,9.24,-33.07
New Zealand,4.90,1.59,3.08,1.37,-13.80
Norway,40.00,6.51,6.15,11.20,72.13
Pakistan,190.00,82.60,2.30,53.22,-35.57
Peru,8.06,3.03,2.66,2.26,-25.46
Philippines,99.39,48.39,2.05,27.84,-42.46
Poland,7.60,3.16,2.41,2.13,-32.53
Russia,67.00,32.80,2.04,18.77,-42.77
Saudi Arabia,11.00,3.75,2.93,3.08,-17.84
Singapore,4.22,1.46,2.88,1.18,-19.28
South Africa,17.95,8.28,2.17,5.03,-39.28
South Korea,3400.00,1314.50,2.59,952.38,-27.55
Sri Lanka,210.00,114.86,1.83,58.82,-48.79
Sweden,39.00,7.91,4.93,10.92,38.12
Switzerland,6.50,1.09,5.98,1.82,67.65
Taiwan,75.00,33.18,2.26,21.01,-36.67
Thailand,64.49,34.17,1.89,18.06,-47.13
Turkey,5.65,1.55,3.65,1.58,2.10
UAE,10.00,3.67,2.72,2.80,-23.74
Ukraine,14.00,7.66,1.83,3.92,-48.80
United States,3.57,1.00,3.57,1.00,0.00
Uruguay,61.00,23.17,2.63,17.09,-26.25
Venezuela,#N/A,#N/A,#N/A,#N/A,#N/A
