id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,2.50,3.13,0.78,1.00,-67.92
Australia,3.00,1.86,1.62,1.20,-35.22
Brazil,3.60,2.34,1.55,1.45,-38.21
Britain,1.99,0.69,2.88,0.80,15.88
Canada,3.33,1.57,2.12,1.34,-14.82
Chile,1400.00,655.00,2.16,562.25,-14.16
China,10.50,8.28,1.27,4.22,-49.07
Colombia,#N/A,#N/A,#N/A,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,56.28,34.00,1.66,22.60,-33.52
Denmark,24.75,8.38,2.96,9.94,18.61
Egypt,#N/A,#N/A,#N/A,#N/A,#N/A
Euro area,2.67,1.12,2.37,1.07,-4.57
Hong Kong,11.20,8.00,1.40,4.50,-43.78
Hungary,459.00,272.00,1.69,184.34,-32.23
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,16000.00,9430.00,1.71,6425.70,-31.86
Israel,12.00,4.79,2.51,4.82,0.61
Japan,262.00,130.00,2.01,105.22,-19.06
Latvia,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,5.04,3.80,1.33,2.02,-46.73
Mexico,21.90,9.28,2.37,8.80,-5.22
New Zealand,3.60,2.24,1.77,1.45,-35.46
Norway,35.00,8.56,4.09,14.06,64.21
Pakistan,#N/A,#N/A,#N/A,#N/A,#N/A
Peru,8.50,3.43,2.48,3.41,-0.48
Philippines,65.00,51.00,1.28,26.10,-48.81
Poland,5.90,4.04,1.46,2.37,-41.35
Russia,39.00,31.20,1.25,15.66,-49.80
Saudi Arabia,#N/A,#N/A,#N/A,#N/A,#N/A
Singapore,3.30,1.82,1.81,1.33,-27.18
South Africa,9.70,10.90,0.87,3.90,-64.26
South Korea,3100.00,1304.00,2.36,1244.98,-4.53
Sri Lanka,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,26.00,10.40,2.52,10.44,0.40
Switzerland,6.30,1.66,3.81,2.53,52.42
Taiwan,70.00,34.80,2.01,28.11,-19.22
Thailand,55.00,43.30,1.27,22.09,-48.99
Turkey,4000000.00,1324500.00,3.06,1606425.70,21.29
UAE,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,#N/A,#N/A,#N/A,#N/A,#N/A
United States,2.49,1.00,2.49,1.00,0.00
Uruguay,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,2500.00,857.00,2.92,1004.02,17.15
