id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,2.50,1.00,2.50,1.00,-0.40
Australia,2.59,1.68,1.54,1.03,-38.58
Brazil,2.95,1.79,1.65,1.18,-34.34
Britain,1.90,0.63,3.00,0.76,19.60
Canada,2.85,1.47,1.94,1.14,-22.76
Chile,1260.00,514.00,2.45,501.99,-2.34
China,9.90,8.28,1.20,3.94,-52.36
Colombia,#N/A,#N/A,#N/A,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,54.37,39.10,1.39,21.66,-44.60
Denmark,24.75,8.04,3.08,9.86,22.64
Egypt,#N/A,#N/A,#N/A,#N/A,#N/A
Euro area,2.56,1.08,2.38,1.02,-5.15
Hong Kong,10.20,7.79,1.31,4.06,-47.83
Hungary,339.00,279.00,1.21,135.06,-51.59
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,14500.00,7945.00,1.83,5776.89,-27.29
Israel,14.50,4.05,3.58,5.78,42.64
Japan,294.00,106.00,2.78,117.13,10.50
Latvia,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,4.52,3.80,1.19,1.80,-52.61
Mexico,20.90,9.41,2.22,8.33,-11.51
New Zealand,3.40,2.01,1.69,1.35,-32.61
Norway,#N/A,#N/A,#N/A,#N/A,#N/A
Pakistan,#N/A,#N/A,#N/A,#N/A,#N/A
Peru,#N/A,#N/A,#N/A,#N/A,#N/A
Philippines,#N/A,#N/A,#N/A,#N/A,#N/A
Poland,5.50,4.30,1.28,2.19,-49.04
Russia,39.50,28.50,1.39,15.74,-44.78
Saudi Arabia,#N/A,#N/A,#N/A,#N/A,#N/A
Singapore,3.20,1.70,1.88,1.27,-25.01
South Africa,9.00,6.72,1.34,3.59,-46.64
South Korea,3000.00,1108.00,2.71,1195.22,7.87
Sri Lanka,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,24.00,8.84,2.71,9.56,8.16
Switzerland,5.90,1.70,3.48,2.35,38.27
Taiwan,70.00,30.60,2.29,27.89,-8.86
Thailand,55.00,38.00,1.45,21.91,-42.34
Turkey,#N/A,#N/A,#N/A,#N/A,#N/A
UAE,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,#N/A,#N/A,#N/A,#N/A,#N/A
United States,2.51,1.00,2.51,1.00,0.00
Uruguay,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,#N/A,#N/A,#N/A,#N/A,#N/A
