id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,11.00,3.02,3.64,3.08,2.04
Australia,3.45,1.03,3.36,0.97,-5.81
Brazil,7.50,1.58,4.73,2.10,32.58
Britain,2.29,0.50,4.57,0.64,28.03
Canada,4.09,1.00,4.08,1.15,14.16
Chile,1550.00,494.65,3.13,434.17,-12.23
China,12.50,6.83,1.83,3.50,-48.76
Colombia,7000.00,1798.65,3.89,1960.78,9.01
Costa Rica,1800.00,551.02,3.27,504.20,-8.50
Czech Republic,66.08,14.50,4.56,18.51,27.67
Denmark,28.00,4.70,5.95,7.84,66.72
Egypt,13.00,5.31,2.45,3.64,-31.45
Euro area,3.37,0.63,5.34,0.94,49.66
Hong Kong,13.30,7.80,1.71,3.73,-52.22
Hungary,670.00,144.26,4.64,187.68,30.10
India,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,18700.00,9152.00,2.04,5238.10,-42.77
Israel,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,280.00,106.86,2.62,78.43,-26.60
Latvia,1.55,0.44,3.50,0.43,-2.06
Lithuania,6.90,2.18,3.17,1.93,-11.22
Malaysia,5.50,3.24,1.70,1.54,-52.42
Mexico,32.00,10.17,3.15,8.96,-11.85
New Zealand,4.90,1.32,3.72,1.37,4.16
Norway,40.00,5.08,7.88,11.20,120.60
Pakistan,140.00,70.90,1.97,39.22,-44.69
Peru,9.50,2.84,3.35,2.66,-6.30
Philippines,87.00,44.49,1.96,24.37,-45.22
Poland,7.00,2.03,3.45,1.96,-3.48
Russia,59.00,23.23,2.54,16.53,-28.87
Saudi Arabia,10.00,3.75,2.67,2.80,-25.29
Singapore,3.95,1.35,2.92,1.11,-18.21
South Africa,16.95,7.56,2.24,4.75,-37.22
South Korea,3200.00,1018.05,3.14,896.36,-11.95
Sri Lanka,210.00,107.55,1.95,58.82,-45.31
Sweden,38.00,5.96,6.37,10.64,78.57
Switzerland,6.50,1.02,6.36,1.82,78.13
Taiwan,75.00,30.36,2.47,21.01,-30.81
Thailand,62.00,33.36,1.86,17.37,-47.94
Turkey,5.15,1.19,4.32,1.44,20.95
UAE,10.00,3.67,2.72,2.80,-23.73
Ukraine,11.00,4.60,2.39,3.08,-33.02
United States,3.57,1.00,3.57,1.00,0.00
Uruguay,61.00,19.15,3.19,17.09,-10.77
Venezuela,#N/A,#N/A,#N/A,#N/A,#N/A
