"episode","index","picard","riker","geordi","tasha","worf","beverly","pulaski","troi","data","wesley","tot_words","picard_prop","riker_prop","geordi_prop","tasha_prop","worf_prop","beverly_prop","pulaski_prop","troi_prop","data_prop","wesley_prop","released","episode_number","season"
"the defector",56,1565,670,454,0,192,84,0,47,916,0,3928,0.398421588594705,0.170570264765784,0.115580448065173,0,0.0488798370672098,0.0213849287169043,0,0.0119653767820774,0.233197556008147,0,1990-01-01,10,3
"the drumhead",92,1695,139,205,0,603,228,0,57,165,0,3092,0.548188874514877,0.0449547218628719,0.0663001293661061,0,0.195019404915912,0.073738680465718,0,0.0184346701164295,0.0533635187580854,0,1991-04-27,21,4
"the emissary",44,582,457,243,0,925,0,129,216,460,0,3012,0.193227091633466,0.151726427622842,0.0806772908366534,0,0.307104913678619,0,0.0428286852589641,0.0717131474103586,0.152722443559097,0,1989-06-24,20,2
"the enemy",53,1243,480,1042,0,391,558,0,22,191,99,4026,0.308743169398907,0.119225037257824,0.258817685047193,0,0.0971187282662692,0.138599105812221,0,0.00546448087431694,0.0474416294088425,0.0245901639344262,1989-11-04,7,3
"the ensigns of command",48,933,475,101,0,154,76,0,213,1424,63,3439,0.271299796452457,0.138121546961326,0.0293690026170398,0,0.0447804594358825,0.0220994475138122,0,0.0619366094794999,0.414073858679849,0.0183192788601338,1989-09-30,2,3
"the first duty",116,1251,64,180,0,41,435,0,7,95,873,2946,0.424643584521385,0.021724372029871,0.0610997963340122,0,0.0139171758316361,0.14765784114053,0,0.00237610319076714,0.0322471147318398,0.296334012219959,1992-03-28,19,5
"the game",103,565,589,360,0,122,309,0,126,325,1403,3799,0.148723348249539,0.155040800210582,0.0947617794156357,0,0.0321137141352988,0.0813371939984206,0,0.0331666227954725,0.0855488286391156,0.369307712555936,1991-10-26,6,5
"the high ground",58,884,367,133,0,72,910,0,69,434,204,3073,0.287666775138301,0.119427269768955,0.0432801822323462,0,0.0234298730881874,0.296127562642369,0,0.0224536283761796,0.14123006833713,0.0663846404165311,1990-01-27,12,3
"the host",94,789,1036,39,0,131,1791,0,326,225,0,4337,0.181922988240719,0.238874798247637,0.00899239105372377,0,0.0302052109753286,0.412958266082546,0,0.0751671662439474,0.0518791791560987,0,1991-05-11,23,4
"the hunted",57,1005,476,150,0,307,49,0,607,836,85,3515,0.285917496443812,0.135419630156472,0.042674253200569,0,0.0873399715504979,0.0139402560455192,0,0.172688477951636,0.237837837837838,0.0241820768136558,1990-01-06,11,3
"the icarus factor",38,579,878,471,0,398,0,622,448,387,484,4267,0.135692524021561,0.205765174595735,0.11038200140614,0,0.0932739629716428,0,0.145769861729552,0.104991797515819,0.0906960393719241,0.113428638387626,1989-04-22,14,2
"the inner light",122,1694,353,117,0,81,346,0,0,200,0,2791,0.606950913651021,0.126477964887137,0.0419204586169832,0,0.0290218559656037,0.12396990326048,0,0,0.0716589036187746,0,1992-05-30,25,5
"the last outpost",4,1670,787,379,280,117,86,0,138,751,0,4208,0.396863117870722,0.187024714828897,0.0900665399239544,0.0665399239543726,0.0278041825095057,0.0204372623574144,0,0.0327946768060837,0.178469581749049,0,1987-10-17,4,1
"the loss",81,795,511,442,0,136,394,0,1730,741,0,4749,0.167403663929248,0.107601600336913,0.093072225731733,0,0.0286376079174563,0.0829648347020425,0,0.36428721836176,0.156032849020846,0,1990-12-29,10,4
"the masterpiece society",110,1178,341,882,0,75,25,0,766,135,0,3402,0.346266901822457,0.100235155790711,0.259259259259259,0,0.0220458553791887,0.00734861845972957,0,0.225161669606114,0.0396825396825397,0,1992-02-08,13,5
"the measure of a man",33,2214,624,65,0,17,0,71,50,1142,19,4202,0.526891956211328,0.14850071394574,0.0154688243693479,0,0.00404569252736792,0,0.0168967158495954,0.0118990956687292,0.271775345073774,0.00452165635411709,1989-02-11,9,2
"the mind's eye",95,653,286,1152,0,218,84,0,144,899,0,3436,0.190046565774156,0.0832363213038417,0.335273573923166,0,0.0634458672875437,0.0244470314318976,0,0.0419091967403958,0.261641443538999,0,1991-05-25,24,4
"the most toys",68,484,351,573,0,215,127,0,70,854,197,2871,0.168582375478927,0.122257053291536,0.199582027168234,0,0.0748867990247301,0.0442354580285615,0,0.0243817485196796,0.297457331940091,0.068617206548241,1990-05-05,22,3
"the naked now",2,1135,661,228,369,170,569,0,202,422,547,4303,0.263769463165234,0.153613757843365,0.0529862886358355,0.0857541250290495,0.0395073204740878,0.1322333255868,0,0.0469439925633279,0.0980711131768534,0.127120613525447,1987-10-03,2,1
"the neutral zone",25,1423,839,248,0,452,506,0,296,874,49,4687,0.303605717943247,0.179005760614466,0.052912310646469,0,0.096436953275016,0.107958182206102,0,0.0631534030296565,0.18647322381054,0.0104544484745039,1988-05-14,25,1
"the next phase",121,611,485,1125,0,209,86,0,0,875,0,3391,0.180182836921262,0.143025656148629,0.331760542612799,0,0.0616337363609555,0.0253612503686228,0,0,0.258035977587732,0,1992-05-16,24,5
"the nth degree",90,632,328,767,0,237,404,0,443,386,0,3197,0.197685329996872,0.102596183922427,0.239912417891774,0,0.074131998748827,0.126368470441038,0,0.13856740694401,0.120738192055052,0,1991-03-30,19,4
"the offspring",62,1150,19,82,0,20,214,0,301,2078,152,4016,0.286354581673307,0.00473107569721116,0.0204183266932271,0,0.0049800796812749,0.0532868525896414,0,0.0749501992031873,0.517430278884462,0.0378486055776892,1990-03-10,16,3
"the outcast",114,402,2139,225,0,254,332,0,188,98,0,3638,0.110500274876306,0.587960417811985,0.0618471687740517,0,0.0698185816382628,0.091258933479934,0,0.051676745464541,0.0269378779549203,0,1992-03-14,17,5
"the outrageous okona",29,1206,331,157,0,259,0,57,71,905,198,3184,0.378768844221106,0.103957286432161,0.0493090452261307,0,0.0813442211055276,0,0.0179020100502513,0.0222989949748744,0.284233668341709,0.0621859296482412,1988-12-10,4,2
"the pegasus",161,1833,1453,227,0,224,66,0,63,440,0,4306,0.425685090571296,0.33743613562471,0.052717138875987,0,0.0520204366000929,0.0153274500696702,0,0.0146307477937761,0.102183000464468,0,1994-01-08,12,7
"the perfect mate",118,1560,306,52,0,95,215,0,0,123,0,2351,0.663547426626967,0.130157379838367,0.0221182475542322,0,0.0404083368779243,0.0914504466184602,0,0,0.0523181624840493,0,1992-04-25,21,5
"the price",54,657,562,292,0,98,113,0,858,268,99,2947,0.222938581608415,0.190702409229725,0.0990838140481846,0,0.0332541567695962,0.0383440787241262,0,0.291143535799118,0.0909399389209365,0.0335934848998982,1989-11-11,8,3
"the quality of life",132,470,438,1175,0,54,338,0,31,1717,0,4223,0.111295287710159,0.103717736206488,0.278238219275397,0,0.0127871181624438,0.0800378877575184,0,0.00734075301918068,0.406582997868814,0,1992-11-14,9,6
"the royale",36,477,1082,130,0,153,0,57,12,758,38,2707,0.176209826376062,0.39970446989287,0.0480236424085704,0,0.0565201329885482,0,0.0210565201329885,0.00443295160694496,0.280014776505356,0.014037680088659,1989-03-25,12,2
"the schizoid man",31,1400,496,259,0,226,0,510,452,1836,148,5327,0.26281208935611,0.0931105688004505,0.0486202365308804,0,0.042425380138915,0,0.0957386896940116,0.0848507602778299,0.344659282898442,0.0277829923033602,1989-01-21,6,2
"the survivors",49,1926,810,136,0,363,321,0,313,414,123,4406,0.437131184748071,0.183840217884703,0.0308669995460735,0,0.0823876532001816,0.0728551974580118,0,0.0710394916023604,0.0939627780299591,0.02791647753064,1989-10-07,3,3
"the vengeance factor",55,741,913,19,0,91,374,0,64,301,116,2619,0.282932416953036,0.34860633829706,0.00725467735777014,0,0.034746086292478,0.142802596410844,0,0.0244368079419626,0.114929362352043,0.0442917143948072,1989-11-18,9,3
"the wounded",83,1977,287,136,0,243,0,0,27,325,0,2995,0.660100166944908,0.0958263772954925,0.0454090150250417,0,0.081135225375626,0,0,0.00901502504173623,0.108514190317195,0,1991-01-26,12,4
"thine own self",165,9,507,62,0,71,373,0,779,1433,0,3234,0.00278293135435993,0.156771799628942,0.0191713048855906,0,0.0219542362399505,0.115337043908472,0,0.240878169449598,0.443104514533086,0,1994-02-12,16,7
"time's arrow",123,631,374,676,0,80,38,0,233,1691,0,3723,0.16948697287134,0.100456621004566,0.181573999462799,0,0.021488047273704,0.0102068224550094,0,0.0625839376846629,0.454203599247918,0,1992-06-15,26,5
"time's arrow: part 2",124,531,724,477,0,154,334,0,232,391,0,2843,0.186774533943018,0.254660569820612,0.167780513542033,0,0.0541681322546606,0.117481533591277,0,0.0816039395005276,0.137530777347872,0,1992-09-19,1,6
"timescape",148,1323,132,938,0,0,18,0,719,1411,0,4541,0.291345518608236,0.029068487117375,0.206562431182559,0,0,0.00396388460691478,0,0.158335168465096,0.310724510019819,0,1993-06-12,25,6
"time squared",37,1688,958,614,0,247,0,616,314,296,0,4733,0.35664483414325,0.202408620325375,0.12972744559476,0,0.0521867737164589,0,0.130150010564124,0.0663427001901542,0.0625396154658779,0,1989-04-01,13,2
"tin man",66,1132,393,434,0,254,129,0,525,786,82,3735,0.303078982597055,0.105220883534137,0.11619812583668,0,0.0680053547523427,0.0345381526104418,0,0.140562248995984,0.210441767068273,0.021954484605087,1990-04-21,20,3
"too short a season",15,1758,229,76,68,5,708,0,232,142,0,3218,0.546302050963331,0.0711622125543816,0.0236171535114978,0.0211311373523928,0.00155376009944065,0.220012430080796,0,0.072094468614046,0.0441267868241144,0,1988-02-06,15,1
"transfigurations",71,892,181,548,0,204,1192,0,53,380,71,3521,0.253337120136325,0.051405850610622,0.155637602953706,0,0.0579380857710878,0.338540187446748,0,0.0150525418915081,0.107923885259869,0.0201647259301335,1990-06-02,25,3
"true q",129,1059,437,348,0,31,794,0,184,262,0,3115,0.339967897271268,0.140288924558587,0.111717495987159,0,0.00995184590690209,0.254895666131621,0,0.0590690208667737,0.0841091492776886,0,1992-10-24,6,6
"unification part 1",104,1596,716,295,0,273,102,0,62,712,0,3756,0.424920127795527,0.19062832800852,0.0785410010649627,0,0.0726837060702875,0.0271565495207668,0,0.016506922257721,0.189563365282215,0,1991-11-02,7,5
"unification part 2",105,895,635,110,0,209,47,0,52,551,0,2499,0.358143257302921,0.254101640656263,0.0440176070428171,0,0.0836334533813525,0.0188075230092037,0,0.0208083233293317,0.220488195278111,0,1991-11-09,8,5
"up the long ladder",42,1155,721,160,0,358,0,850,100,370,0,3714,0.310985460420032,0.194130317716747,0.0430802369413032,0,0.0963920301561659,0,0.228863758750673,0.0269251480883145,0.0996230479267636,0,1989-05-20,18,2
"violations",109,994,449,691,0,60,647,0,476,269,0,3586,0.277189068600112,0.125209146681539,0.192693809258226,0,0.0167317345231456,0.18042387060792,0,0.132738427216955,0.0750139431121026,0,1992-02-01,12,5
"we'll always have paris",23,1687,413,178,0,189,451,0,262,778,0,3958,0.42622536634664,0.104345629105609,0.0449722081859525,0,0.0477513895907024,0.113946437594745,0,0.0661950480040424,0.196563921172309,0,1988-04-30,23,1
"when the bough breaks",16,1261,549,95,59,54,414,0,57,233,787,3509,0.359361641493303,0.156454830436022,0.0270732402393844,0.0168139070960388,0.0153889997150185,0.117982331148475,0,0.0162439441436307,0.0664006839555429,0.224280421772585,1988-02-13,16,1
"where no one has gone before",5,1772,677,177,74,39,93,0,141,181,195,3349,0.529113168109884,0.202149895491191,0.0528515974917886,0.0220961481039116,0.0116452672439534,0.0277694834278889,0,0.0421021200358316,0.0540459838757838,0.0582263362197671,1987-10-24,5,1
"where silence has lease",27,1406,830,141,0,315,0,230,167,563,176,3828,0.367293625914316,0.216823406478579,0.036833855799373,0,0.0822884012539185,0,0.0600835945663532,0.0436259143155695,0.147074190177638,0.0459770114942529,1988-11-26,2,2
"who watches the watchers",50,1134,365,60,0,43,174,0,233,165,0,2174,0.521619135234591,0.167893284268629,0.0275988960441582,0,0.0197792088316467,0.0800367985280589,0,0.107175712971481,0.0758969641214351,0,1989-10-14,4,3
"yesterday's enterprise",61,1377,506,203,982,82,127,0,0,482,122,3881,0.354805462509662,0.13037876835867,0.0523061066735378,0.253027570213862,0.0211285751095079,0.0327235248647256,0,0,0.124194795155888,0.0314351971141458,1990-02-17,15,3
